ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT
370	1003_neg	NEG	rGyalrongSomo	rGyalrong (Somo)	ma	ma	m a	jiar1240	1240	31.6	102.23		4 7	AX	MA	34	34.M.C 34.A.V	2.0 1.5	ma	0	53	m a - -
371	1003_neg	NEG	Ergong	Ergong	mi	mi	m i	horp1239	1240	31.1	101.72		4 7	AX	MI	8	8.M.C 8.I.V	2.0 1.5	mi	0	53	m i - -
372	1003_neg	NEG	MuyaMinyak	Muya [Minyak]	ȵi³⁵	ȵi³⁵	ɲ i ³⁵	muya1239	1240	29.82	102.2		4 7 8	AXT	NI2	25	25.N.C 25.I.V 25.2.T	1.6 3.0 1.0	ɲi³⁵	0	56	ɲ i ³⁵
373	1003_neg	NEG	ZhebaQueyu	Zhaba [Queyu]	ma³⁵	ma³⁵	m a ³⁵	quey1238	1240	30.31	100.81		4 7 8	AXT	MA2	51	51.M.C 51.A.V 51.2.T	1.6 3.0 1.0	ma³⁵	0	53	m a - ³⁵
374	1003_neg	NEG	Guiqiong	Guiqiong	me³⁵	me³⁵	m e ³⁵	guiq1238	1240	30.48	102.13		4 7 8	AXT	ME2	10	10.M.C 10.E.V 10.2.T	1.6 3.0 1.0	me³⁵	0	53	m e - ³⁵
375	1003_neg	NEG	ErsuGanluo	Ersu (Ganluo)	ma³³	ma³³	m a ³³	ersu1241	1240	29.29	102.21		4 7 8	AXT	MA4	9	9.M.C 9.A.V 9.4.T	1.6 3.0 1.0	ma³³	0	53	m a - ³³
376	1003_neg	NEG	Namuyi	Namuyi	mɛ³³	mɛ³³	m ɛ ³³	namu1246	1240	28.59	101.9		4 7 8	AXT	ME4	26	26.M.C 26.E.V 26.4.T	1.6 3.0 1.0	mɛ³³	0	53	m ɛ - ³³
377	1003_neg	NEG	ShixingXumi	Shixing [Xumi]	mu⁵⁵	mu⁵⁵	m u ⁵⁵	shix1238	1240	28.39	100.4		4 7 8	AXT	MY5	35	35.M.C 35.Y.V 35.5.T	1.6 3.0 1.0	mu⁵⁵	0	53	m u - ⁵⁵
378	1003_neg	NEG	YiXide	Yi (Xide)	a²¹	a²¹	a ²¹	sich1238	1240	28.19	102.12		7 8	XT	A3	48	48.A.V 48.3.T	3.0 1.0	a²¹	0	54	a ²¹
379	1003_neg	NEG	YiDafang	Yi (Dafang)	ma²¹	ma²¹	m a ²¹	wusa1235	1240	25.77	102.37		4 7 8	AXT	MA3	44	44.M.C 44.A.V 44.3.T	1.6 3.0 1.0	ma²¹	0	53	m a - ²¹
380	1003_neg	NEG	YiNanjian	Yi (Nanjian)	mɑ²¹	mɑ²¹	m ɑ ²¹	xish1235	1240	24.87	100.71		4 7 8	AXT	MA3	47	47.M.C 47.A.V 47.3.T	1.6 3.0 1.0	mɑ²¹	0	53	m ɑ - ²¹
381	1003_neg	NEG	YiNanhua	Yi (Nanhua)	ni²¹	ni²¹	n i ²¹	lolo1259	1240	25.5	101.3		4 7 8	AXT	NI3	46	46.N.C 46.I.V 46.3.T	1.6 3.0 1.0	ni²¹	0	56	n i ²¹
382	1003_neg	NEG	YiMile	Yi (Mile)	ᴀ²¹	ᴀ²¹	a ²¹		1240				7 8	XT	A3	45	45.A.V 45.3.T	3.0 1.0	a²¹	0	54	a ²¹
383	1003_neg	NEG	MojiangYi	Yi (Mojiang)	mᴀ²¹	mᴀ²¹	m a ²¹	yuan1242	1240				4 7 8	AXT	MA3	24	24.M.C 24.A.V 24.3.T	1.6 3.0 1.0	ma²¹	0	53	m a - ²¹
384	1003_neg	NEG	Liso	Lisu	mɑ³¹	mɑ³¹	m ɑ ³¹	lisu1250	1240	26.91	98.94		4 7 8	AXT	MA3	20	20.M.C 20.A.V 20.3.T	1.6 3.0 1.0	mɑ³¹	0	53	m ɑ - ³¹
385	1003_neg	NEG	LijangNaxi	Naxi (Lijiang)	mə³³	mə³³	m ə ³³	naxi1246	1240	27.46	100.18		4 7 8	AXT	ME4	19	19.M.C 19.E.V 19.4.T	1.6 3.0 1.0	mə³³	0	53	m ə - ³³
386	1003_neg	NEG	YongningNaxi	Naxi (Yongning)	mə³³; mɑ³³	mə³³	m ə ³³	naxi1246	1240	27.46	100.18		4 7 8	AXT	ME4	49	49.M.C 49.E.V 49.4.T	1.6 3.0 1.0	mə³³	0	53	m ə - ³³
387	1003_neg	NEG	BikaHani	Hani (Bika)	mɔ³¹;ma³¹	mɔ³¹	m ɔ ³¹		1240				4 7 8	AXT	MU3	3	3.M.C 3.U.V 3.3.T	1.6 3.0 1.0	mɔ³¹	0	53	m ɔ - ³¹
388	1003_neg	NEG	HayaHani	Hani (Haya)	ma⁵³	ma⁵³	m a ⁵³		1240				4 7 8	AXT	MA3	12	12.M.C 12.A.V 12.3.T	1.6 3.0 1.0	ma⁵³	0	53	m a - ⁵³
389	1003_neg	NEG	HaobaiHani	Hani (Haobai)	mɔ³¹	mɔ³¹	m ɔ ³¹		1240				4 7 8	AXT	MU3	11	11.M.C 11.U.V 11.3.T	1.6 3.0 1.0	mɔ³¹	0	53	m ɔ - ³¹
390	1003_neg	NEG	Lahu	Lahu	mᴀ⁵³	mᴀ⁵³	m a ⁵³	lahu1253	1240	21.27	100.21		4 7 8	AXT	MA3	17	17.M.C 17.A.V 17.3.T	1.6 3.0 1.0	ma⁵³	0	53	m a - ⁵³
391	1003_neg	NEG	Jinou	Jinuo	mɔ³³	mɔ³³	m ɔ ³³	youl1235	1240	22.05	101.06		4 7 8	AXT	MU4	16	16.M.C 16.U.V 16.4.T	1.6 3.0 1.0	mɔ³³	0	53	m ɔ - ³³
392	1003_neg	NEG	DaliBai	Bai (Dali)	mu³³	mu³³	m u ³³	sout2730	1240	25.52	100.29		4 7 8	AXT	MY4	5	5.M.C 5.Y.V 5.4.T	1.6 3.0 1.0	mu³³	0	53	m u - ³³
393	1003_neg	NEG	JianchuanBai	Bai (Jianchuan)	jɑ³⁵; ɑ²¹	jɑ³⁵	j ɑ ³⁵	cent2004	1240	26.17	99.71		6 7 8	AXT	JA2	14	14.J.C 14.A.V 14.2.T	1.6 3.0 1.0	jɑ³⁵	0	55	j ɑ ³⁵
