ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
PumiQinghua-983_that-1-1,PumiQinghua-983_that-1,tə¹³,983_that-1,false,expert,Gao2020,,,
rGyalrongSomo-983_that-1-1,rGyalrongSomo-983_that-1,wu_tə,983_that-12,false,expert,Gao2020,,,
Ergong-983_that-1-1,Ergong-983_that-1,ɛ_lɯ,983_that-13,false,expert,Gao2020,,,
MuyaMinyak-983_that-1-1,MuyaMinyak-983_that-1,a⁵⁵_khɔ⁵³,983_that-14,false,expert,Gao2020,,,
ZhebaQueyu-983_that-1-1,ZhebaQueyu-983_that-1,a³⁵,983_that-13,false,expert,Gao2020,,,
Guiqiong-983_that-1-1,Guiqiong-983_that-1,ji⁵⁵_ki⁵⁵,983_that-4,false,expert,Gao2020,,,
ErsuGanluo-983_that-1-1,ErsuGanluo-983_that-1,ɑ³³_thɛ⁵⁵,983_that-1,false,expert,Gao2020,,,
Namuyi-983_that-1-1,Namuyi-983_that-1,χɛ³³,983_that-4,false,expert,Gao2020,,,
ShixingXumi-983_that-1-1,ShixingXumi-983_that-1,tɛi⁵⁵_thi³³,983_that-19,false,expert,Gao2020,,,
YiXide-983_that-1-1,YiXide-983_that-1,a³³_di⁵⁵,983_that-1,false,expert,Gao2020,,,
YiDafang-983_that-1-1,YiDafang-983_that-1,ɯ⁵⁵,983_that-21,false,expert,Gao2020,,,
YiNanjian-983_that-1-1,YiNanjian-983_that-1,nɑ⁵⁵_tʂhɿ⁵⁵_mɑ⁵⁵,983_that-22,false,expert,Gao2020,,,
YiNanhua-983_that-1-1,YiNanhua-983_that-1,khɯ³³,983_that-4,false,expert,Gao2020,,,
YiMile-983_that-1-1,YiMile-983_that-1,kɯ³³,983_that-4,false,expert,Gao2020,,,
MojiangYi-983_that-1-1,MojiangYi-983_that-1,kɯ⁵⁵,983_that-4,false,expert,Gao2020,,,
Liso-983_that-1-1,Liso-983_that-1,gɯ³³,983_that-4,false,expert,Gao2020,,,
LijangNaxi-983_that-1-1,LijangNaxi-983_that-1,thɯ³³,983_that-1,false,expert,Gao2020,,,
YongningNaxi-983_that-1-1,YongningNaxi-983_that-1,thv³³,983_that-1,false,expert,Gao2020,,,
BikaHani-983_that-1-1,BikaHani-983_that-1,ai⁵⁵,983_that-29,false,expert,Gao2020,,,
HayaHani-983_that-1-1,HayaHani-983_that-1,thø⁵⁵,983_that-1,false,expert,Gao2020,,,
HaobaiHani-983_that-1-1,HaobaiHani-983_that-1,thɔ⁵⁵,983_that-1,false,expert,Gao2020,,,
Lahu-983_that-1-1,Lahu-983_that-1,o⁵³,983_that-32,false,expert,Gao2020,,,
Jinou-983_that-1-1,Jinou-983_that-1,khɯ⁵⁵,983_that-4,false,expert,Gao2020,,,
DaliBai-983_that-1-1,DaliBai-983_that-1,pɯ⁵⁵,983_that-34,false,expert,Gao2020,,,
JianchuanBai-983_that-1-1,JianchuanBai-983_that-1,mɯ⁵⁵,983_that-6,false,expert,Gao2020,,,
BijangBai-983_that-1-1,BijangBai-983_that-1,po⁴²_tʂheɹ⁴²,983_that-34,false,expert,Gao2020,,,
Tuja-983_that-1-1,Tuja-983_that-1,ai⁵⁵,983_that-37,false,expert,Gao2020,,,
WrittenBurmese-983_that-1-1,WrittenBurmese-983_that-1,hto²,983_that-1,false,expert,Gao2020,,,
SpokenBurmese-983_that-1-1,SpokenBurmese-983_that-1,hto²²,983_that-1,false,expert,Gao2020,,,
Achang-983_that-1-1,Achang-983_that-1,the⁵⁵,983_that-1,false,expert,Gao2020,,,
Zaiwa-983_that-1-1,Zaiwa-983_that-1,xje⁵¹,983_that-41,false,expert,Gao2020,,,
LhaoVo-983_that-1-1,LhaoVo-983_that-1,thø³¹,983_that-1,false,expert,Gao2020,,,
