SID	SWADESH	YAKHONTOV	ENGLISH	CHINESE	LANGUAGE	COGNATE	FORM	CONCEPTICON_ID	CONCEPTICON_GLOSS
986	7	93	what	什么	46	38	pha³³		
986	7	93	what	什么	47	47	ɕɑn⁵⁵		
986	7	93	what	什么	48	48	ɕim⁵⁵		
986	7	93	what	什么	49	49	kɑ⁵⁵ di⁵⁵ he⁵⁵		
986	7	93	what	什么	50	49	ɦɛː ko		
986	7	93	what	什么	51	49	hi⁵³ ɟeh⁵³		
1003	8	58	not	不	1	1	mi		
1003	8	58	not	不	2	1	ma¹³		
1003	8	58	not	不	3	1	ma¹³		
1003	8	58	not	不	4	1	mə		
1003	8	58	not	不	5	1	mi		
1003	8	58	not	不	6	1	mᴀ¹³		
1003	8	58	not	不	7	1	ma		
1003	8	58	not	不	8	1	ma		
1003	8	58	not	不	9	1	mi⁵⁵		
1003	8	58	not	不	10	1	ma³⁵		
1003	8	58	not	不	11	1	mɑ¹³		
1003	8	58	not	不	12	1	ma		
1003	8	58	not	不	13	1	mi		
1003	8	58	not	不	14	14	ȵi³⁵		
1003	8	58	not	不	15	1	ma³⁵		
1003	8	58	not	不	16	1	me³⁵		
1003	8	58	not	不	17	1	ma³³		
1003	8	58	not	不	18	1	mɛ³³		
1003	8	58	not	不	19	1	mu⁵⁵		
1003	8	58	not	不	20	20	a²¹		
1003	8	58	not	不	21	1	ma²¹		
1003	8	58	not	不	22	1	mɑ²¹		
1003	8	58	not	不	23	14	ni²¹		
1003	8	58	not	不	24	20	ᴀ²¹		
1003	8	58	not	不	25	1	mᴀ²¹		
1003	8	58	not	不	26	1	mɑ³¹		
1003	8	58	not	不	27	1	mə³³		
1003	8	58	not	不	28	1	mə³³; mɑ³³		
1003	8	58	not	不	29	1	mɔ³¹;ma³¹		
1003	8	58	not	不	30	1	ma⁵³		
1003	8	58	not	不	31	1	mɔ³¹		
1003	8	58	not	不	32	1	mᴀ⁵³		
1003	8	58	not	不	33	1	mɔ³³		
1003	8	58	not	不	34	1	mu³³		
1003	8	58	not	不	35	35	jɑ³⁵; ɑ²¹		
1003	8	58	not	不	36	35	ɑ⁴²		
1003	8	58	not	不	37	37	tha⁵⁵		
1003	8	58	not	不	38	1	mɑ¹ bhu³		
1003	8	58	not	不	39	1	mɑ⁵³ bu⁵⁵		
1003	8	58	not	不	40	1	ma³¹		
1003	8	58	not	不	41	20	a²¹		
1003	8	58	not	不	42	1	mə̆³¹		
1003	8	58	not	不	43	1	m̩³¹		
1003	8	58	not	不	44	1	mɑ³³		
1003	8	58	not	不	45	1	mɯ³¹		
1003	8	58	not	不	46	14	n̩⁵⁵		
1003	8	58	not	不	47	1	mɑi⁵³		
1003	8	58	not	不	48	1	m̩⁵⁵		
1003	8	58	not	不	49	1	mi⁵⁵		
1003	8	58	not	不	50	1	moŋ		
1003	8	58	not	不	51	51	ba³³		
999	9		all/even	都	1	1	gaŋ ga		
999	9		all/even	都	2	1	kaŋ¹⁵ ka⁵³		
999	9		all/even	都	3	3	tshɑŋ⁵⁵ ma⁵³		
999	9		all/even	都	4	3	tshaŋ ma		
999	9		all/even	都	5	3	tshaŋ ma		
999	9		all/even	都	6	3	tshᴀŋ mᴀ⁵³		
999	9		all/even	都	7	7			
999	9		all/even	都	8	8	kin di		
999	9		all/even	都	9	9	zɑ²⁴¹		
999	9		all/even	都	10	10	liɛ³⁵ wa⁵³		
999	9		all/even	都	11	11	põ¹³ ni⁵⁵		
999	9		all/even	都	12	12	kə tʃᴇt		
999	9		all/even	都	13	13	ɛ ʁe lɔ		
999	9		all/even	都	14	14	me³³ me⁵⁵		
999	9		all/even	都	15	15	rĩ³⁵ pa⁵⁵		
999	9		all/even	都	16	16	giɛ³³̃ dʐɿ⁵⁵		
999	9		all/even	都	17	17	ȵo³³ kuɑ³³		
999	9		all/even	都	18	18	a³³ kɛ³³ mu⁵⁵		
999	9		all/even	都	19	10	lɑ³³ wɑ⁵⁵		
999	9		all/even	都	20	20	dʑɿ³³ kɯ⁴⁴		
999	9		all/even	都	21	20	kho²¹		
999	9		all/even	都	22	10	li⁵⁵		
999	9		all/even	都	23	10	le⁵⁵		
999	9		all/even	都	24	24	fu⁵⁵		
999	9		all/even	都	25	20	ʑi⁵⁵ tsõ²¹; kho⁵⁵ dzᴀ²¹		
999	9		all/even	都	26	26	ɑ³¹ dʒɿ³¹		
999	9		all/even	都	27	27	be³³		
